Depth,Plastic Type,count,min diameter (um),max diameter (um),,,,,,,,,,,,,,,,
1-2',alkyd varnish,643,23.75,476.01,,,,,,,,,,,,,,,,
1-2',polyurethane (PU),558,26.15,475.81,,,,,,,,,,,,,,,,
1-2',polypropylene (PP),143,26.9,450.56,,,,,,,,,,,,,,,,
1-2',polyethylene (PE),123,26.82,496.20,,,,,,,,,,,,,,,,
1-2',polyamide (PA),117,27.04,462.05,,,,,,,,,,,,,,,,
1-2',polyethylene terephthalate (PET),102,29.56,473.01,,,,,,,,,,,,,,,,
1-2',polyethylene chlorinated,101,23.77,319.65,,,,,,,,,,,,,,,,
1-2',polyvinylchloride (PVC),70,26.89,485.33,,,,,,,,,,,,,,,,
1-2',acrylonitrile butadiene,53,24.40,498.85,,,,,,,,,,,,,,,,
1-2',polybutadiene,39,23.44,380.13,,,,,,,,,,,,,,,,
1-2',acrylates,39,24.99,442.52,,,,,,,,,,,,,,,,
1-2',polymethylmethacrylate (PMMA),29,29.87,470.67,,,,,,,,,,,,,,,,
1-2',polytetrafluoroethylene (PTFE),25,26.47,284.76,,,,,,,,,,,,,,,,
1-2',polyvinyl alcohol,20,36.87,436.07,,,,,,,,,,,,,,,,
1-2',polylactic acid (PLA),19,25.84,104.57,,,,,,,,,,,,,,,,
1-2',cellulose chemically modified,10,28.80,408.37,,,,,,,,,,,,,,,,
1-2',polyether,9,31.23,188.94,,,,,,,,,,,,,,,,
1-2',polysulfones,5,30.13,142.28,,,,,,,,,,,,,,,,
1-2',ethylene vinyl acetate (EVA),4,37.38,70.81,,,,,,,,,,,,,,,,
1-2',cellulose acetate,3,43.11,61.77,,,,,,,,,,,,,,,,
1-2',polystyrene (PS),2,79.37,100.78,,,,,,,,,,,,,,,,
1-2',polycarboate (PC),1,59.31,59.31,,,,,,,,,,,,,,,,
1-2',polycaprolactone,1,28.05,28.05,,,,,,,,,,,,,,,,
1-2',polyacetal,1,34.24,34.24,,,,,,,,,,,,,,,,
23-24',polyurethane (PU),326,25.61,494.32,,,,,,,,,,,,,,,,
23-24',polyethylene chlorinated,271,22.86,274.87,,,,,,,,,,,,,,,,
23-24',polyamide (PA),175,23.35,406.45,,,,,,,,,,,,,,,,
23-24',polyethylene terephthalate (PET),162,27.14,424.42,,,,,,,,,,,,,,,,
23-24',polypropylene (PP),144,23.73,445.23,,,,,,,,,,,,,,,,
23-24',polyethylene (PE),118,24.15,340.09,,,,,,,,,,,,,,,,
23-24',polyvinyl alcohol,110,26.49,333.47,,,,,,,,,,,,,,,,
23-24',acrylates,104,23.96,408.87,,,,,,,,,,,,,,,,
23-24',acrylonitrile butadiene,103,25.05,287.57,,,,,,,,,,,,,,,,
23-24',alkyd varnish,74,29.33,258.94,,,,,,,,,,,,,,,,
23-24',polytetrafluoroethylene (PTFE),59,23.51,236.79,,,,,,,,,,,,,,,,
23-24',polycarboate (PC),55,25.31,336.53,,,,,,,,,,,,,,,,
23-24',cellulose chemically modified,54,26.84,198.91,,,,,,,,,,,,,,,,
23-24',polymethylmethacrylate (PMMA),43,25.42,473.95,,,,,,,,,,,,,,,,
23-24',cellulose acetate,43,29.29,247.47,,,,,,,,,,,,,,,,
23-24',polysulfones,37,29.18,178.95,,,,,,,,,,,,,,,,
