sample_interval,depth,rubber,pvc,pva,pu,ptfe,psu,ps,pp,pmma,pla,cpi,pi,pet,cpe,pe,pe_ether,pc,pcl,pbd,pa,pom,eva,cmc,ca,alkyd,abs,"
acrylic"
0-1,1,20,48,11,334,2,1,2,901,6,0,0,0,133,23,80,0,3,1,0,15,1,2,2,0,735,1,61
1-2,2,101,70,20,558,25,5,2,143,29,19,0,0,102,101,123,9,1,1,39,117,1,4,10,3,643,53,39
2-3,3,62,33,60,154,2,1,2,1041,5,0,0,0,55,31,77,0,5,0,0,4,0,8,6,1,190,1,37
3-4,4,172,60,28,339,24,9,1,281,30,6,2,1,96,387,67,3,6,4,38,35,4,4,6,2,412,23,44
4-5,5,82,36,65,275,2,0,1,101,1,0,0,0,64,266,85,0,7,0,0,10,0,7,8,0,289,1,9
5-6,6,101,15,29,282,10,1,0,77,7,0,0,0,59,424,72,0,7,1,31,60,1,2,13,2,420,32,38
6-7,7,48,148,65,615,7,2,2,511,21,0,13,0,34,8,31,6,1,1,0,16,0,20,67,13,129,1,23
7-8,8,100,61,99,773,1,0,0,238,5,0,0,0,92,170,195,1,0,4,0,39,0,10,23,3,626,4,18
8-9,9,97,27,76,376,1,0,1,1013,2,0,0,0,55,135,172,0,3,4,1,24,0,3,9,2,577,1,17
9-10,10,276,40,165,363,0,0,2,115,4,0,0,0,97,325,70,0,3,0,0,8,0,1,8,2,134,0,9
10-11,11,101,15,29,282,10,1,0,77,7,0,0,0,59,424,72,0,7,1,31,60,1,2,13,2,420,32,38
11-12,12,405,43,24,307,5,2,2,375,9,1,20,0,333,702,183,0,5,8,27,16,8,7,6,1,504,19,109
12-13,13,74,20,27,161,7,0,1,747,3,0,0,0,53,104,123,0,12,5,0,10,1,2,10,0,166,3,5
13-14,14,55,6,7,22,9,0,2,330,0,0,1,0,22,30,39,0,6,1,0,2,0,1,1,0,26,1,1
14-15,15,101,15,29,282,10,1,0,77,7,0,0,0,59,424,72,0,7,1,31,60,1,2,13,2,420,32,38
15-16,16,81,25,23,177,9,0,0,118,3,1,0,0,41,180,112,0,5,6,4,21,1,0,23,3,242,7,7
16-17,17,31,6,1,40,3,0,0,274,3,0,2,0,19,31,20,0,7,0,0,13,2,0,0,0,10,0,8
17-18,18,89,7,16,163,10,1,1,228,9,0,0,0,134,155,55,0,21,7,1,29,0,2,4,7,23,9,19
18-19,19,18,5,1,41,1,1,0,385,1,0,0,0,7,12,32,0,0,1,0,11,0,0,0,0,1,1,11
19-20,20,273,26,58,299,28,12,0,472,13,26,0,0,122,336,212,0,30,6,2,76,10,6,4,6,71,27,78
20-21,21,333,45,130,652,173,10,2,140,71,11,8,0,404,572,234,2,136,44,8,251,19,14,19,15,126,126,243
21-22,22,67,10,5,148,2,2,0,152,7,0,0,0,52,64,89,0,5,1,3,76,1,1,6,2,16,4,37
22-23,23,144,13,19,175,4,4,3,451,12,1,0,0,44,33,157,0,17,7,5,66,0,1,2,0,5,9,22
23-24,24,335,15,110,326,59,47,3,144,43,33,7,2,162,271,118,3,55,13,30,175,18,4,54,43,74,103,104
24-25,25,31,3,3,52,25,0,0,321,0,0,1,0,19,12,56,0,15,0,1,5,2,0,2,5,7,1,6
