sample_interval,depth,rubber,pvc,pva,pu,ptfe,psu,ps,pp,pmma,pla,cpi,pi,pet,cpe,pe,pe_ether,pc,pcl,pbd,pa,pom,eva,cmc,ca,alkyd,abs,"
acrylic"
0-1,1,1.16E+04,2.79E+04,6.40E+03,1.94E+05,1.16E+03,5.81E+02,0.00E+00,1.16E+03,5.24E+05,3.49E+03,0.00E+00,0.00E+00,0.00E+00,7.73E+04,1.34E+04,4.65E+04,0.00E+00,1.74E+03,5.81E+02,0.00E+00,8.72E+03,5.81E+02,1.16E+03,1.16E+03,0.00E+00,4.27E+05,5.81E+02
1-2,2,3.95E+04,2.73E+04,7.81E+03,2.18E+05,9.77E+03,1.95E+03,0.00E+00,7.81E+02,5.59E+04,1.13E+04,7.42E+03,0.00E+00,0.00E+00,3.98E+04,3.95E+04,4.80E+04,3.52E+03,3.91E+02,3.91E+02,1.52E+04,4.57E+04,3.91E+02,1.56E+03,3.91E+03,1.17E+03,2.51E+05,2.07E+04
2-3,3,1.88E+04,1.00E+04,1.82E+04,4.67E+04,6.06E+02,3.03E+02,0.00E+00,6.06E+02,3.15E+05,1.52E+03,0.00E+00,0.00E+00,0.00E+00,1.67E+04,9.39E+03,2.33E+04,0.00E+00,1.52E+03,0.00E+00,0.00E+00,1.21E+03,0.00E+00,2.42E+03,1.82E+03,3.03E+02,5.76E+04,3.03E+02
3-4,4,5.62E+04,1.96E+04,9.15E+03,1.11E+05,7.84E+03,2.94E+03,1.31E+03,3.27E+02,9.18E+04,9.80E+03,1.96E+03,6.54E+02,3.27E+02,3.14E+04,1.26E+05,2.19E+04,9.80E+02,1.96E+03,1.31E+03,1.24E+04,1.14E+04,1.31E+03,1.31E+03,1.96E+03,6.54E+02,1.35E+05,7.52E+03
4-5,5,3.32E+04,1.46E+04,2.63E+04,1.11E+05,8.10E+02,0.00E+00,0.00E+00,4.05E+02,4.09E+04,4.05E+02,0.00E+00,0.00E+00,0.00E+00,2.59E+04,1.08E+05,3.44E+04,0.00E+00,2.83E+03,0.00E+00,0.00E+00,4.05E+03,0.00E+00,2.83E+03,3.24E+03,0.00E+00,1.17E+05,4.05E+02
5-6,6,3.99E+04,5.93E+03,1.15E+04,1.11E+05,3.95E+03,3.95E+02,0.00E+00,0.00E+00,3.04E+04,2.77E+03,0.00E+00,0.00E+00,0.00E+00,2.33E+04,1.68E+05,2.85E+04,0.00E+00,2.77E+03,3.95E+02,1.23E+04,2.37E+04,3.95E+02,7.91E+02,5.14E+03,7.91E+02,1.66E+05,1.26E+04
6-7,7,9.72E+03,3.00E+04,1.32E+04,1.24E+05,1.42E+03,4.05E+02,2.02E+02,4.05E+02,1.03E+05,4.25E+03,0.00E+00,2.63E+03,0.00E+00,6.88E+03,1.62E+03,6.28E+03,1.21E+03,2.02E+02,2.02E+02,0.00E+00,3.24E+03,0.00E+00,4.05E+03,1.36E+04,2.63E+03,2.61E+04,2.02E+02
7-8,8,3.91E+04,2.38E+04,3.87E+04,3.02E+05,3.91E+02,0.00E+00,0.00E+00,0.00E+00,9.30E+04,1.95E+03,0.00E+00,0.00E+00,0.00E+00,3.59E+04,6.64E+04,7.62E+04,3.91E+02,0.00E+00,1.56E+03,0.00E+00,1.52E+04,0.00E+00,3.91E+03,8.98E+03,1.17E+03,2.45E+05,1.56E+03
8-9,9,3.02E+04,8.41E+03,2.37E+04,1.17E+05,3.12E+02,0.00E+00,0.00E+00,3.12E+02,3.16E+05,6.23E+02,0.00E+00,0.00E+00,0.00E+00,1.71E+04,4.21E+04,5.36E+04,0.00E+00,9.35E+02,1.25E+03,3.12E+02,7.48E+03,0.00E+00,9.35E+02,2.80E+03,6.23E+02,1.80E+05,3.12E+02
9-10,10,4.77E+04,6.91E+03,2.85E+04,6.27E+04,0.00E+00,0.00E+00,0.00E+00,3.45E+02,1.99E+04,6.91E+02,0.00E+00,0.00E+00,0.00E+00,1.68E+04,5.61E+04,1.21E+04,0.00E+00,5.18E+02,0.00E+00,0.00E+00,1.38E+03,0.00E+00,1.73E+02,1.38E+03,3.45E+02,2.31E+04,0.00E+00
10-11,11,1.91E+04,2.84E+03,5.49E+03,5.34E+04,1.89E+03,1.89E+02,0.00E+00,0.00E+00,1.46E+04,1.33E+03,0.00E+00,0.00E+00,0.00E+00,1.12E+04,8.03E+04,1.36E+04,0.00E+00,1.33E+03,1.89E+02,5.87E+03,1.14E+04,1.89E+02,3.79E+02,2.46E+03,3.79E+02,7.95E+04,6.06E+03
11-12,12,8.05E+04,8.55E+03,4.77E+03,6.10E+04,9.94E+02,3.98E+02,0.00E+00,3.98E+02,7.46E+04,1.79E+03,1.99E+02,3.98E+03,0.00E+00,6.62E+04,1.40E+05,3.64E+04,0.00E+00,9.94E+02,1.59E+03,5.37E+03,3.18E+03,1.59E+03,1.39E+03,1.19E+03,1.99E+02,1.00E+05,3.78E+03
12-13,13,1.31E+04,3.55E+03,4.79E+03,2.85E+04,1.24E+03,0.00E+00,0.00E+00,1.77E+02,1.32E+05,5.32E+02,0.00E+00,0.00E+00,0.00E+00,9.40E+03,1.84E+04,2.18E+04,0.00E+00,2.13E+03,8.87E+02,0.00E+00,1.77E+03,1.77E+02,3.55E+02,1.77E+03,0.00E+00,2.94E+04,5.32E+02
13-14,14,1.01E+04,1.11E+03,1.29E+03,4.06E+03,1.66E+03,0.00E+00,0.00E+00,3.69E+02,6.09E+04,0.00E+00,0.00E+00,1.85E+02,0.00E+00,4.06E+03,5.54E+03,7.20E+03,0.00E+00,1.11E+03,1.85E+02,0.00E+00,3.69E+02,0.00E+00,1.85E+02,1.85E+02,0.00E+00,4.80E+03,1.85E+02
14-15,15,1.92E+04,2.85E+03,5.50E+03,5.35E+04,1.90E+03,1.90E+02,0.00E+00,0.00E+00,1.46E+04,1.33E+03,0.00E+00,0.00E+00,0.00E+00,1.12E+04,8.05E+04,1.37E+04,0.00E+00,1.33E+03,1.90E+02,5.88E+03,1.14E+04,1.90E+02,3.80E+02,2.47E+03,3.80E+02,7.97E+04,6.07E+03
15-16,16,1.40E+04,4.33E+03,3.98E+03,3.06E+04,1.56E+03,0.00E+00,0.00E+00,0.00E+00,2.04E+04,5.19E+02,1.73E+02,0.00E+00,0.00E+00,7.09E+03,3.11E+04,1.94E+04,0.00E+00,8.65E+02,1.04E+03,6.92E+02,3.63E+03,1.73E+02,0.00E+00,3.98E+03,5.19E+02,4.19E+04,1.21E+03
16-17,17,5.36E+03,1.04E+03,1.73E+02,6.92E+03,5.19E+02,0.00E+00,0.00E+00,0.00E+00,4.74E+04,5.19E+02,0.00E+00,3.46E+02,0.00E+00,3.29E+03,5.36E+03,3.46E+03,0.00E+00,1.21E+03,0.00E+00,0.00E+00,2.25E+03,3.46E+02,0.00E+00,0.00E+00,0.00E+00,1.73E+03,0.00E+00
17-18,18,1.51E+04,1.19E+03,2.72E+03,2.77E+04,1.70E+03,1.70E+02,1.70E+02,1.70E+02,3.88E+04,1.53E+03,0.00E+00,0.00E+00,0.00E+00,2.28E+04,2.64E+04,9.35E+03,0.00E+00,3.57E+03,1.19E+03,1.70E+02,4.93E+03,0.00E+00,3.40E+02,6.80E+02,1.19E+03,3.91E+03,1.53E+03
18-19,19,3.48E+03,9.67E+02,1.93E+02,7.93E+03,1.93E+02,1.93E+02,0.00E+00,0.00E+00,7.45E+04,1.93E+02,0.00E+00,0.00E+00,0.00E+00,1.35E+03,2.32E+03,6.19E+03,0.00E+00,0.00E+00,1.93E+02,0.00E+00,2.13E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E+02,1.93E+02
19-20,20,5.24E+04,4.99E+03,1.11E+04,5.74E+04,5.37E+03,2.30E+03,1.92E+02,0.00E+00,9.06E+04,2.50E+03,4.99E+03,0.00E+00,0.00E+00,2.34E+04,6.45E+04,4.07E+04,0.00E+00,5.76E+03,1.15E+03,3.84E+02,1.46E+04,1.92E+03,1.15E+03,7.68E+02,1.15E+03,1.36E+04,5.18E+03
20-21,21,6.56E+04,8.86E+03,2.56E+04,1.28E+05,3.41E+04,1.97E+03,7.87E+02,3.94E+02,2.76E+04,1.40E+04,2.17E+03,1.57E+03,0.00E+00,7.95E+04,1.13E+05,4.61E+04,3.94E+02,2.68E+04,8.66E+03,1.57E+03,4.94E+04,3.74E+03,2.76E+03,3.74E+03,2.95E+03,2.48E+04,2.48E+04
21-22,22,1.22E+04,1.82E+03,9.09E+02,2.69E+04,3.64E+02,3.64E+02,0.00E+00,0.00E+00,2.76E+04,1.27E+03,0.00E+00,0.00E+00,0.00E+00,9.45E+03,1.16E+04,1.62E+04,0.00E+00,9.09E+02,1.82E+02,5.45E+02,1.38E+04,1.82E+02,1.82E+02,1.09E+03,3.64E+02,2.91E+03,7.27E+02
22-23,23,2.76E+04,2.49E+03,3.64E+03,3.35E+04,7.66E+02,7.66E+02,1.92E+02,5.75E+02,8.64E+04,2.30E+03,1.92E+02,0.00E+00,0.00E+00,8.43E+03,6.32E+03,3.01E+04,0.00E+00,3.26E+03,1.34E+03,9.58E+02,1.26E+04,0.00E+00,1.92E+02,3.83E+02,0.00E+00,9.58E+02,1.72E+03
23-24,24,6.37E+04,2.85E+03,2.09E+04,6.20E+04,1.12E+04,8.94E+03,1.90E+03,5.70E+02,2.74E+04,8.17E+03,6.27E+03,1.33E+03,3.80E+02,3.08E+04,5.15E+04,2.24E+04,5.70E+02,1.05E+04,2.47E+03,5.70E+03,3.33E+04,3.42E+03,7.60E+02,1.03E+04,8.17E+03,1.41E+04,1.96E+04
24-25,25,6.04E+03,5.85E+02,5.85E+02,1.01E+04,4.87E+03,0.00E+00,0.00E+00,0.00E+00,6.26E+04,0.00E+00,0.00E+00,1.95E+02,0.00E+00,3.70E+03,2.34E+03,1.09E+04,0.00E+00,2.92E+03,0.00E+00,1.95E+02,9.75E+02,3.90E+02,0.00E+00,3.90E+02,9.75E+02,1.36E+03,1.95E+02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
