sample_interval,depth,rubber,pvc,pva,pu,ptfe,psu,ps,pp,pmma,pla,cpi,pi,pet,cpe,pe,pe_ether,pc,pcl,pbd,pa,pom,eva,cmc,ca,alkyd,abs,"
acrylic"
0-1,1,0.84,2.02,0.46,14.02,0.08,0.04,0.00,0.08,37.83,0.25,0.00,0.00,0.00,5.58,0.97,3.36,0.00,0.13,0.04,0.00,0.63,0.04,0.08,0.08,0.00,30.86,0.04
1-2,2,4.55,3.16,0.90,25.16,1.13,0.23,0.00,0.09,6.45,1.31,0.86,0.00,0.00,4.60,4.55,5.55,0.41,0.05,0.05,1.76,5.28,0.05,0.18,0.45,0.14,28.99,2.39
2-3,3,3.49,1.86,3.38,8.68,0.11,0.06,0.00,0.11,58.65,0.28,0.00,0.00,0.00,3.10,1.75,4.34,0.00,0.28,0.00,0.00,0.23,0.00,0.45,0.34,0.06,10.70,0.06
3-4,4,8.25,2.88,1.34,16.27,1.15,0.43,0.19,0.05,13.48,1.44,0.29,0.10,0.05,4.61,18.57,3.21,0.14,0.29,0.19,1.82,1.68,0.19,0.19,0.29,0.10,19.77,1.10
4-5,5,6.26,2.75,4.97,21.01,0.15,0.00,0.00,0.08,7.72,0.08,0.00,0.00,0.00,4.89,20.32,6.49,0.00,0.53,0.00,0.00,0.76,0.00,0.53,0.61,0.00,22.08,0.08
5-6,6,6.00,0.89,1.72,16.75,0.59,0.06,0.00,0.00,4.57,0.42,0.00,0.00,0.00,3.50,25.18,4.28,0.00,0.42,0.06,1.84,3.56,0.06,0.12,0.77,0.12,24.94,1.90
6-7,7,2.69,8.31,3.65,34.51,0.39,0.11,0.06,0.11,28.68,1.18,0.00,0.73,0.00,1.91,0.45,1.74,0.34,0.06,0.06,0.00,0.90,0.00,1.12,3.76,0.73,7.24,0.06
7-8,8,4.06,2.48,4.02,31.40,0.04,0.00,0.00,0.00,9.67,0.20,0.00,0.00,0.00,3.74,6.90,7.92,0.04,0.00,0.16,0.00,1.58,0.00,0.41,0.93,0.12,25.43,0.16
8-9,9,3.74,1.04,2.93,14.48,0.04,0.00,0.00,0.04,39.02,0.08,0.00,0.00,0.00,2.12,5.20,6.63,0.00,0.12,0.15,0.04,0.92,0.00,0.12,0.35,0.08,22.23,0.04
9-10,10,17.02,2.47,10.17,22.38,0.00,0.00,0.00,0.12,7.09,0.25,0.00,0.00,0.00,5.98,20.04,4.32,0.00,0.18,0.00,0.00,0.49,0.00,0.06,0.49,0.12,8.26,0.00
10-11,11,6.00,0.89,1.72,16.75,0.59,0.06,0.00,0.00,4.57,0.42,0.00,0.00,0.00,3.50,25.18,4.28,0.00,0.42,0.06,1.84,3.56,0.06,0.12,0.77,0.12,24.94,1.90
11-12,12,12.98,1.38,0.77,9.84,0.16,0.06,0.00,0.06,12.02,0.29,0.03,0.64,0.00,10.67,22.49,5.86,0.00,0.16,0.26,0.87,0.51,0.26,0.22,0.19,0.03,16.15,0.61
12-13,13,4.82,1.30,1.76,10.50,0.46,0.00,0.00,0.07,48.70,0.20,0.00,0.00,0.00,3.46,6.78,8.02,0.00,0.78,0.33,0.00,0.65,0.07,0.13,0.65,0.00,10.82,0.20
13-14,14,9.79,1.07,1.25,3.91,1.60,0.00,0.00,0.36,58.72,0.00,0.00,0.18,0.00,3.91,5.34,6.94,0.00,1.07,0.18,0.00,0.36,0.00,0.18,0.18,0.00,4.63,0.18
14-15,15,6.00,0.89,1.72,16.75,0.59,0.06,0.00,0.00,4.57,0.42,0.00,0.00,0.00,3.50,25.18,4.28,0.00,0.42,0.06,1.84,3.56,0.06,0.12,0.77,0.12,24.94,1.90
