sample_interval,depth,year,rubber,polyvinylchloride_(PVC),polyvinyl_alcohol,polyurethane_(PU),polytetrafluoroethylene_(PTFE),polysulfones,polystyrene_(PS),polypropylene_(PP),polymethylmethacrylate_(PMMA),polylactic_acid_(PLA),polyisoprene_chlorinated,polyimide,polyethylene_terephthalate_(PET),polyethylene_chlorinated,polyethylene_(PE),polyether,polycarbonate_(PC),polycaprolactone,polybutadiene,polyamide_(PA),polyacetal,ethylene_vinyl_acetate_(EVA),cellulose_chemically_modified,cellulose_acetate,alkyd_varnish,acrylonitrile_butadiene,acrylates,totals,
0-1,1,2023,110.11,85.26,NA,100.01,4.39,NA,NA,64.76,75.54,16.74,NA,NA,NA,NA,NA,96.46,NA,21.04,NA,NA,66.46,NA,NA,NA,NA,NA,NA,72.26,
1-2,2,NA,68.38,99.47,NA,74.42,50.94,43.42,NA,15.14,86.98,119.40,NA,NA,NA,NA,NA,109.00,48.69,NA,NA,86.38,80.44,NA,NA,NA,NA,NA,NA,109.04,
2-3,3,2020,45.31,60.37,NA,89.42,47.62,NA,NA,88.12,62.91,25.14,NA,NA,NA,NA,NA,103.45,NA,46.38,NA,NA,96.26,NA,NA,NA,NA,NA,NA,53.46,
3-4,4,2015,42.94,81.66,NA,94.93,27.15,35.16,3.16,NA,64.17,76.50,NA,NA,NA,NA,NA,92.61,62.88,36.04,134.24,57.76,98.21,16.77,NA,NA,NA,NA,NA,55.63,
4-5,5,NA,73.06,73.80,NA,73.00,9.47,NA,NA,NA,85.49,NA,NA,NA,NA,NA,NA,68.62,NA,37.54,NA,NA,67.11,NA,NA,NA,NA,NA,NA,65.59,
5-6,6,NA,105.76,32.51,NA,76.51,NA,NA,NA,2.47,76.18,NA,NA,NA,NA,NA,NA,98.56,NA,NA,NA,NA,88.78,NA,NA,NA,NA,NA,NA,NA,
6-7,7,2008,39.46,57.03,NA,68.16,40.12,NA,NA,17.09,71.84,77.51,NA,NA,NA,NA,NA,98.96,26.87,NA,NA,NA,54.89,NA,NA,NA,NA,NA,NA,30.37,
7-8,8,NA,80.26,98.03,NA,93.22,NA,NA,NA,NA,74.15,27.93,NA,NA,NA,NA,NA,105.38,NA,NA,24.56,NA,89.25,NA,NA,NA,NA,NA,NA,34.31,
8-9,9,NA,112.18,80.29,NA,91.07,NA,NA,NA,NA,66.04,14.72,NA,NA,NA,NA,NA,99.62,NA,148.43,27.14,NA,90.32,NA,NA,NA,NA,NA,NA,115.26,
9-10,10,2003,46.57,80.71,NA,49.54,NA,NA,NA,19.57,35.17,12.11,NA,NA,NA,NA,NA,84.16,NA,14.60,NA,NA,16.97,NA,NA,NA,NA,NA,NA,17.84,
10-11,11,NA,86.72,66.81,NA,85.24,36.27,NA,NA,NA,69.57,84.89,NA,NA,NA,NA,NA,81.58,NA,55.61,NA,40.01,67.21,NA,NA,NA,NA,NA,NA,52.68,
11-12,12,NA,32.19,76.52,NA,52.05,27.89,12.84,NA,11.56,53.99,32.61,NA,NA,NA,NA,NA,55.57,NA,14.29,18.69,76.23,49.23,17.85,NA,NA,NA,NA,NA,58.53,
12-13,13,1998,71.71,99.54,NA,69.82,21.05,NA,NA,NA,53.07,41.17,NA,NA,NA,NA,NA,89.51,NA,12.44,5.69,NA,15.87,NA,NA,NA,NA,NA,NA,111.07,
13-14,14,NA,36.33,27.66,NA,52.29,18.86,NA,NA,17.53,48.74,NA,NA,NA,NA,NA,NA,67.13,NA,103.58,NA,NA,11.38,NA,NA,NA,NA,NA,NA,NA,
14-15,15,NA,96.01,34.18,NA,72.22,96.99,NA,NA,NA,45.85,163.21,NA,NA,NA,NA,NA,41.26,NA,77.97,NA,NA,44.92,NA,NA,NA,NA,NA,NA,32.64,
15-16,16,1991,72.46,57.61,NA,98.54,17.95,NA,NA,NA,69.67,30.04,NA,NA,NA,NA,NA,102.26,NA,15.22,25.04,16.74,67.86,NA,NA,NA,NA,NA,NA,59.24,
16-17,17,NA,80.84,21.03,NA,76.41,32.00,NA,NA,NA,51.25,79.15,NA,NA,NA,NA,NA,71.58,NA,39.44,NA,NA,59.51,9.78,NA,NA,NA,NA,NA,11.19,
17-18,18,NA,36.73,32.79,NA,53.80,26.98,NA,NA,NA,62.35,55.50,NA,NA,NA,NA,NA,53.12,NA,93.43,24.15,NA,82.75,NA,NA,NA,NA,NA,NA,79.13,
18-19,19,1982,36.65,17.52,NA,36.94,NA,NA,NA,NA,69.80,NA,NA,NA,NA,NA,NA,50.14,NA,NA,NA,NA,20.27,NA,NA,NA,NA,NA,NA,38.34,
19-20,20,NA,53.15,53.90,NA,58.55,43.04,44.94,NA,NA,69.88,44.94,NA,NA,NA,NA,NA,51.43,NA,57.00,49.37,36.06,43.94,70.42,NA,NA,NA,NA,NA,79.74,
20-21,21,NA,38.75,67.24,NA,40.88,28.23,5.64,8.16,85.96,60.90,28.37,NA,NA,NA,NA,NA,36.62,5.33,39.79,40.93,14.65,45.93,24.64,NA,NA,NA,NA,NA,42.59,
21-22,22,1968,41.00,102.64,NA,37.70,1.99,132.24,NA,NA,89.88,89.41,NA,NA,NA,NA,NA,34.11,NA,46.51,NA,31.15,32.71,NA,NA,NA,NA,NA,NA,57.13,
22-23,23,NA,42.01,36.80,NA,63.52,84.17,15.18,NA,200.51,73.20,58.75,NA,NA,NA,NA,NA,49.71,NA,25.53,51.92,15.93,40.49,NA,NA,NA,NA,NA,NA,29.31,
23-24,24,NA,46.02,21.55,NA,51.14,30.05,28.05,23.76,36.13,65.15,99.73,NA,NA,NA,NA,NA,49.95,20.88,59.84,130.21,80.85,42.22,35.34,NA,NA,NA,NA,NA,54.26,
24-25,25,1948,83.75,10.50,NA,24.82,67.64,NA,NA,NA,64.48,NA,NA,NA,NA,NA,NA,68.25,NA,21.66,NA,NA,24.51,6.60,NA,NA,NA,NA,NA,43.59,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
