sample_interval,depth,year,rubber,polyvinylchloride_(PVC),polyvinyl_alcohol,polyurethane_(PU),polytetrafluoroethylene_(PTFE),polysulfones,polystyrene_(PS),polypropylene_(PP),polymethylmethacrylate_(PMMA),polylactic_acid_(PLA),polyisoprene_chlorinated,polyimide,polyethylene_terephthalate_(PET),polyethylene_chlorinated,polyethylene_(PE),polyether,polycarbonate_(PC),polycaprolactone,polybutadiene,polyamide_(PA),polyacetal,ethylene_vinyl_acetate_(EVA),cellulose_chemically_modified,cellulose_acetate,alkyd_varnish,acrylonitrile_butadiene,acrylates,totals,
0-1,1,2023,123.43,119.52,NA,133.54,57.24,471.68,NA,110.01,103.83,66.84,NA,NA,NA,NA,NA,128.40,NA,74.63,91.84,NA,103.03,111.70,NA,NA,NA,NA,NA,111.40,
1-2,2,NA,82.09,99.37,NA,85.09,74.16,78.02,NA,90.07,97.63,130.22,NA,NA,NA,NA,NA,118.65,77.72,59.31,28.05,99.33,93.33,34.24,NA,NA,NA,NA,NA,108.99,
2-3,3,2020,81.15,108.93,NA,118.06,94.13,450.49,NA,144.36,95.60,76.85,NA,NA,NA,NA,NA,127.36,NA,96.67,NA,NA,168.56,NA,NA,NA,NA,NA,NA,91.20,
3-4,4,2015,91.17,119.33,NA,121.25,70.04,97.83,53.46,69.94,108.52,118.96,NA,NA,72.05,NA,NA,127.65,101.77,91.57,150.88,94.71,129.41,74.56,NA,NA,NA,NA,NA,91.67,
4-5,5,NA,99.71,108.05,NA,102.94,72.81,NA,NA,51.08,114.31,74.85,NA,NA,NA,NA,NA,106.58,NA,86.04,NA,NA,120.41,NA,NA,NA,NA,NA,NA,107.74,
5-6,6,NA,117.49,88.25,NA,99.97,NA,NA,NA,52.55,105.47,NA,NA,NA,NA,NA,NA,109.27,138.66,88.31,NA,NA,124.09,NA,NA,NA,NA,NA,NA,117.89,
6-7,7,2008,85.14,92.49,NA,98.08,139.17,82.73,82.92,73.11,100.06,103.36,NA,NA,NA,NA,NA,117.46,75.64,54.66,50.17,NA,93.45,NA,NA,NA,NA,NA,NA,80.10,
7-8,8,NA,103.90,117.97,NA,125.01,54.05,NA,NA,NA,100.53,77.87,NA,NA,NA,NA,NA,142.76,65.64,NA,94.00,NA,111.74,NA,NA,NA,NA,NA,NA,84.84,
8-9,9,NA,137.76,113.63,NA,123.54,75.45,NA,NA,102.99,101.53,76.37,NA,NA,NA,NA,NA,145.34,NA,152.72,70.15,100.13,137.66,NA,NA,NA,NA,NA,NA,153.75,
9-10,10,2003,101.19,113.20,NA,105.25,NA,NA,NA,66.90,98.14,70.88,NA,NA,NA,NA,NA,122.07,NA,73.17,NA,NA,82.99,NA,NA,NA,NA,NA,NA,90.93,
10-11,11,NA,106.18,90.02,NA,118.75,90.82,62.76,NA,NA,97.98,130.44,NA,NA,NA,NA,NA,113.15,NA,99.96,204.91,83.11,107.85,55.43,NA,NA,NA,NA,NA,99.02,
11-12,12,NA,81.73,122.39,NA,90.46,71.88,61.15,NA,62.53,98.95,70.67,NA,NA,NA,NA,NA,98.64,NA,71.47,73.84,90.09,94.40,75.48,NA,NA,NA,NA,NA,93.72,
